name,description,price,city,address,website,bike_dist,car_dist,is_bikable
Arepa Mia,"Even more rewarding is a visit to her cheerful, stand-alone spot in Avondale Estates, where she also serves specialties such as pabellón (shredded grassfed beef with black beans, fried plantains, and queso de año) and avocado and heart-of-palm salad dressed with sweet corn juice. Growing up, Lis Hernandez spent countless days with her mother in the kitchen making arepas—stuffed cornmeal patties, crunchy from a hot grill—that they sold on the streets in their native Venezuela. Hernandez’s arepas first appeared in Atlanta at the Sweet Auburn Curb Market in 2012, and she still sells them there.",1,Avondale Estates,10 North Clarendon Avenue,arepamiaatlanta.com,00:55:00,00:27:00,False
Taqueria Don Sige,"But ignore any misinformed impulses because you’re here for traditional tacos (chopped onion, cilantro, lime, and radish), irresistibly priced at $1.50 each (pollo is great, but chorizo, camarones, and lengua are phenomenal). Located behind a gas station, in a tiny strip mall on the border of College Park and East Point, Don Sige isn’t known for its decor. The spicy salsa verde isn’t complex and doesn’t need to be, and the expertly wrapped burrito and liberally sauced steak fajita are as flavorful as they are unfancy.",1,College Park,1720 Vesta Avenue,None,00:51:00,00:18:00,False
Desta Ethiopian Kitchen,"Despite the competition, it’s still the best place in town to scoop up kitfo (raw, minced beef seasoned with chili powder and spiced butter) and miser (red lentils stewed with cayenne, onion, garlic, and ginger) using soft, spongy, fermented injera bread. The menu, which allows you to make decisions based on how daring you are, demystifies Ethiopian cuisine, and the tree that rises up from the middle of the covered patio and through its roof makes you forget you’re in the middle of an asphalt sea. Desta is one of three Ethiopian restaurants at the corner of Briarcliff and Clairmont roads—including the stylish and formidable newcomer Feedel Bistro.",1,North Druid Hills,3086 Briarcliff Road,destaethiopiankitchen.com,00:54:00,00:14:00,False
Aria,"Plates are adorned with drops and loops and smears of sauces, and even if that’s not typically your thing, you’ll still be wowed by Aria’s artistry—particularly when the plate holds caramelized scallops with perfect piles of sunchoke, Brussels, and rutabaga. Perhaps you’ve had your fill of beet salads, but you haven’t had a beet salad until you’ve had this one; with gold and ruby-red wedges mingling with candied walnuts atop thick, lemony yogurt, the dish is exceptional in its simplicity. Whether the date night in question is prom, an anniversary, an engagement, or some less monumental event, Aria is up to the occasion.",4,Buckhead,490 East Paces Ferry Road,aria-atl.com,00:37:00,00:14:00,False
Tomo,"Your best option is to snag one of five nightly spots for Naito’s omakase (tasting menu), which starts at $100 and could include fluke with ponzu gelee and a lamb chop dusted in citrusy, almost minty sansho powder. If you want to fully experience Tomo, skip the sprawling menu; the shrimp tempura roll and teriyaki-glazed chicken breast will only distract you from the immensity of chef Tomohiro Naito’s gift for Japanese cuisine. Your faux-makase could include slivers of superfresh sashimi shimmering in a shallow pool of yuzu ponzu and extra-virgin olive oil and a simple slice of miso-marinated, broiled black cod.",4,Buckhead,3630 Peachtree Road,tomorestaurant.com,00:44:00,00:14:00,False
Bones,"Even lunch at the bar is a treat, a prime perch for sipping a martini, chowing down on one of the city’s best burgers, and indulging in a mile-high ice cream pie. Start with lump-crab cocktail or lobster bisque or a wedge salad, and pair your steak or chop with a loaded baked potato and grilled asparagus. If corporate bigwigs want to blow $6,000 on wine, they do it at this landmark, wood- paneled steakhouse.",4,Buckhead,3130 Piedmont Road,bonesrestaurant.com,00:38:00,00:14:00,False
Lazy Betty,"Hsu’s Steak & Eggs is a nod to his family’s frequent visits to Waffle House, but in his version, a dry-aged New York strip is accompanied by a sous-vide egg wrapped in a wasabi leaf. In the magnificently transformed Candler Park space that formerly housed Radial Cafe, choose from two tasting menus—six courses for $130 or eight for $170 (gratuity included). And though he’s opened the most ambitious new restaurant Atlanta has seen in several years, that doesn’t mean his rarefied food is short on fun.",4,Candler Park,1530 DeKalb Avenue,lazybettyatl.com,00:30:00,00:15:00,False
Mamak,"This small, sleek, colorful dining room manages to instantly transport you to the streets of Malaysia, where vendors serve near-identical versions of Mamak’s sambal okra, Hainanese chicken, wok-fried flat rice noodles, mustard green fish head soup, and curry laksa. The real-deal cooking—along with the fact that most entrees are priced below $15, and only one of the lunch specials exceeds $8—makes it a place that demands repeat visits. These dishes are but a few of the many reasons Mamak has a rabid following.",1,Doraville,5150 Buford Highway,mamak-kitchen.com,01:15:00,00:20:00,False
Woo Nam Jeong (Stone Bowl House),"Sizzling dolsots (blazing hot stone bowls) of Atlanta’s best bibimbap come spicy with kimchi or more subdued with a mix of braised mushrooms seasoned with sweet soy sauce (there’s even an oceanic version with squid or eel). From the moment the owner introduces herself as “Grandma,” you know Woo Nam Jeong is a special place. Grandma makes nearly every item at this Buford Highway homestyle Korean restaurant from scratch.",1,Doraville,5953 Buford Highway,None,01:24:00,00:21:00,False
El Rey del Taco,"If you’re feeling indecisive about the dozen taco options—from steak to goat, cow’s cheek to tongue, chorizo to al pastor—go for a bunch of $1.60 mini tacos (though we do prefer the full-priced $2.50 ones on a homemade tortilla). There are tons of other worthy things to eat at El Rey, including sizzled meats a la plancha and more than three dozen seafood dishes. El Rey del Taco means “the king of the taco,” and it lives up to its name.",1,Doraville,5288 Buford Highway,elreydeltacoatl.com,01:20:00,00:20:00,False
Food Terminal,"There’s not a more craveable noodle dish in Atlanta than the Thai Chili Pan Mee, a bowl of silky flat noodles topped with dried anchovies, ground chicken, shiitakes, spinach, and a fried egg. Additional locations have opened on the Westside (1000 Marietta Street Northwest), in Sandy Springs (6440 Aria Boulevard), and in Alpharetta (6360 North Point Parkway). And the well-oiled kitchen cranks out clever takes on Malaysian food, a mix of Chinese, Indian, Singaporean, and Thai flavors.",1,Chamblee,5000 Buford Highway,foodterminal.com,01:12:00,00:20:00,False
Yet Tuh,"You now can more easily choose from “dishes,” “combo,” “side dishes,” “hot pot,” “noodles,” and “pancake”—and you can’t choose wrong. This humble hideaway just off Buford Highway offers homestyle Korean food at its most comforting: kimchi pancakes, steamed chicken and rice, and bubbling kimchi stew with pork. And for non-Korean speakers, the menu became easier to navigate last year when it was overhauled with both photos and categories translated to English.",1,Doraville,3042 Oakcliff Road,None,01:25:00,00:20:00,False
 Taquería La Oaxaqueña,"Oaxaca is considered one of the culinary capitals of Mexico, and the Oaxacan specialty that eaters have raved about for years at this Jonesboro gem is the tlayuda: a large, grilled tortilla covered pizzalike with refritos, string cheese, avocado, lettuce, and your choice of meat (pork sluiced in chili is tops). You’ll also discover some of the finest tacos in town here; handmade corn tortillas are folded around delicacies such as stewed beef cheeks, tripe, and pork al pastor. Huaraches, the sandal-shaped boats of masa dough, are loaded with rich meat.",1,Jonesboro,605 Mount Zion Road,None,01:36:00,00:21:00,False
Rumi’s Kitchen,"Staged against a turquoise-tiled open kitchen, the dining room is a glamorous setting for grazing on kashk badenjoon (fried eggplant, cream of whey, crispy onion, mint) and charred lamb kebabs perfumed with citrus and saffron. Additional locations opened in Midtown at Colony Square (1175 Peachtree Street Northeast) and at Avalon in Alpharetta (7105 Avalon Boulevard). A second location, which opened at Avalon in 2017, has done little to ease the crowds.",3,Sandy Springs,6112 Roswell Road,rumiskitchen.com,01:22:00,00:20:00,False
9292 Korean Barbecue,"At 9292—the flagship of a growing mini-empire, including the almost-as-good D92 in Decatur—each part is a cut above: a rainbow of daily changing side dishes (banchan) like pickled radishes and soy-glazed peanuts; glistening slices of marbled brisket, pork belly, and ribeye; charcoal grills (which we prefer to their electric counterparts); and a sleek, industrial space. (As for the name: Say “92-92” in Korean, and it sounds like the word for “grill.”) It’s a marvel to watch the servers navigate the labyrinth of semiprivate dining cubicles.",2,Duluth,3360 Satellite Boulevard,facebook.com/9292KBBQ,00:02:00,00:28:00,True
Osteria Mattone,"Dividing the casual barroom from the white-tablecloth side is a partially enclosed tasting room, which showcases an award-winning, mostly Italian wine cellar—though our favorite spot is the covered front patio, where you can soak up Canton Street’s convivial energy. Pasta options (including gluten-free ones) range from plump agnolotti di oxo (braised short rib—stuffed ravioli) to hearty tagliolini Bolognese. Co-owners and siblings Ryan and Daniel Pernice are ever-attentive and easy to spot—think the Property Brothers with beards.",2,Roswell,1095 Canton Street,osteriamattone.com,00:02:00,00:30:00,True
Nam Phuong,"The number of menu options can be overwhelming, but you can’t go wrong with bone-in, steamed chicken over a crisp pile of shredded vegetables, eggless crepes bursting with fragrant shrimp and pork, and cubes of marinated, flash-seared beef tenderloin with fried rice and watercress. Both locations of Nam Phuong are worthwhile starting points to explore the joys of Vietnamese cuisine beyond pho and banh mi, though the Jimmy Carter Boulevard outpost has a bit of an edge on the Buford Highway one.",1,Norcross,5495 Jimmy Carter Boulevard,None,00:02:00,00:22:00,True
Tasty China,"But Tasty China currently is in superb—if not quite Changian—form, churning out stellar dishes including confit-like fish filets in chili oil and velvety, mild chicken with three types of mushrooms. Back then, in 2006, the kitchen was helmed by the talented and elusive Peter Chang, who ignited a love of ma la (hot and numbing spice) that paved the way for Masterpiece and Gu’s. Without Chang, who’s drawn a cult following to restaurants across the South, the original Marietta location faltered at times and flourished at others.",2,Marietta,585 Franklin Gateway,tastychina.net,01:40:00,00:21:00,False
Seed Kitchen & Bar,"Back in 2011, Doug Turbush opened a trailblazing restaurant the likes of which East Cobb hadn’t seen—one with a bright-white, modern, Scandinavian aesthetic, a sophisticated cocktail program, and an idiosyncratic menu. Chicken schnitzel is served with miso mustard, pork-belly sliders arrive on Chinese steam buns, and braised local greens are spiked with soy sauce and chilis. Turbush’s food is mainly modern American but with Southern and global influences.",3,East Cobb,"1311 Johnson Ferry Road, Marietta",eatatseed.com,00:02:00,00:29:00,True
O4W Pizza,"But the biggest draw remains the game-changing pizzas: classic round pies, thick-crust Sicilians, thick-yet-airy Detroit-style, and, of course, grandma. In 2015, the city fell hard for New Jersey native Anthony Spina’s O4W Pizza—and his square, pan-cooked grandma pie in particular. Spina relaunched a month later in Duluth, with an expanded menu that includes a chicken parm hero on housemade bread and handmade cavatelli.",2,Duluth,3117 Main Street,o4wpizza.com,00:02:00,00:37:00,True
La Mixteca Tamale House,"The restaurant’s specialties include all kinds of tamales (perfected by the owner’s mother), some sweet ones and others filled with various meats and moles; ravishingly crisp, giant, blue-corn tlayudas (Mexican pizzas) showered with fresh toppings and housemade sauces; and beautifully deconstructed tamale bowls. The mere sight of the steam table of tamales—with flavors ranging from cactus with cheese to Philly cheesesteak—will set your stomach growling. This fast-casual, family-run, Oaxacan joint brings serious foodie cred to its far-flung suburban location.",1,Suwanee,"1185 Old Peachtree Road, Suwanee",facebook.com/lamixtecatamalehouse,00:03:00,00:32:00,True
